plate,plate_glycerol,row,col,cross_letter,cross,genotype,strain_num,passage,contamination
IMG_070_crop.JPG,IMG_098_crop.JPG,11,4,B,M1,M,22,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,4,A,L1,L,23,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,4,B,M1,M,23,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,4,A,L1,L,24,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,4,B,M1,M,24,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,5,C,H1,H,17,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,5,D,L2,L,17,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,5,C,H1,H,18,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,5,D,L2,L,18,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,5,C,H1,H,19,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,5,D,L2,L,19,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,5,C,H1,H,20,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,5,D,L2,L,20,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,5,C,H1,H,21,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,5,D,L2,L,21,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,5,C,H1,H,22,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,5,D,L2,L,22,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,5,C,H1,H,23,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,5,D,L2,L,23,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,5,C,H1,H,24,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,5,D,L2,L,24,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,6,A,L1,L,25,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,6,B,M1,M,25,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,6,A,L1,L,26,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,6,B,M1,M,26,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,6,A,L1,L,27,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,6,B,M1,M,27,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,6,A,L1,L,28,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,6,B,M1,M,28,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,6,A,L1,L,29,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,6,B,M1,M,29,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,6,A,L1,L,30,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,6,B,M1,M,30,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,6,A,L1,L,31,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,6,B,M1,M,31,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,6,A,L1,L,32,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,6,B,M1,M,32,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,7,C,H1,H,25,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,7,D,L2,L,25,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,7,C,H1,H,26,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,7,D,L2,L,26,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,7,C,H1,H,27,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,7,D,L2,L,27,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,7,C,H1,H,28,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,7,D,L2,L,28,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,7,C,H1,H,29,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,7,D,L2,L,29,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,7,C,H1,H,30,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,7,D,L2,L,30,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,7,C,H1,H,31,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,7,D,L2,L,31,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,7,C,H1,H,32,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,7,D,L2,L,32,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,8,A,L1,L,33,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,8,B,M1,M,33,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,8,A,L1,L,34,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,8,B,M1,M,34,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,8,A,L1,L,35,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,8,B,M1,M,35,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,8,A,L1,L,36,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,8,B,M1,M,36,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,8,A,L1,L,37,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,8,B,M1,M,37,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,8,A,L1,L,38,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,8,B,M1,M,38,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,8,A,L1,L,39,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,8,B,M1,M,39,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,8,A,L1,L,40,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,8,B,M1,M,40,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,9,C,H1,H,33,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,9,D,L2,L,33,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,9,C,H1,H,34,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,9,D,L2,L,34,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,9,C,H1,H,35,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,9,D,L2,L,35,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,9,C,H1,H,36,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,9,D,L2,L,36,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,9,C,H1,H,37,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,9,D,L2,L,37,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,9,C,H1,H,38,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,9,D,L2,L,38,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,9,C,H1,H,39,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,9,D,L2,L,39,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,9,C,H1,H,40,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,9,D,L2,L,40,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,10,A,L1,L,41,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,10,B,M1,M,41,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,10,A,L1,L,42,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,10,B,M1,M,42,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,10,A,L1,L,43,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,10,B,M1,M,43,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,10,A,L1,L,44,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,10,B,M1,M,44,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,10,A,L1,L,45,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,10,B,M1,M,45,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,10,A,L1,L,46,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,10,B,M1,M,46,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,10,A,L1,L,47,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,10,B,M1,M,47,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,10,A,L1,L,48,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,10,B,M1,M,48,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,11,C,H1,H,41,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,11,D,L2,L,41,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,11,C,H1,H,42,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,11,D,L2,L,42,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,11,C,H1,H,43,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,11,D,L2,L,43,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,11,C,H1,H,44,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,11,D,L2,L,44,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,11,C,H1,H,45,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,11,D,L2,L,45,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,11,C,H1,H,46,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,11,D,L2,L,46,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,11,C,H1,H,47,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,11,D,L2,L,47,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,11,C,H1,H,48,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,11,D,L2,L,48,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,12,A,L1,L,49,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,12,B,M1,M,49,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,12,A,L1,L,50,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,12,B,M1,M,50,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,12,A,L1,L,51,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,12,B,M1,M,51,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,12,A,L1,L,52,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,12,B,M1,M,52,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,12,A,L1,L,53,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,12,B,M1,M,53,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,12,A,L1,L,54,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,12,B,M1,M,54,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,12,A,L1,L,55,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,12,B,M1,M,55,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,12,A,L1,L,56,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,12,B,M1,M,56,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,13,C,H1,H,49,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,13,D,L2,L,49,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,13,C,H1,H,50,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,13,D,L2,L,50,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,13,C,H1,H,51,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,13,D,L2,L,51,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,13,C,H1,H,52,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,13,D,L2,L,52,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,13,C,H1,H,53,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,13,D,L2,L,53,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,13,C,H1,H,54,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,13,D,L2,L,54,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,13,C,H1,H,55,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,13,D,L2,L,55,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,13,C,H1,H,56,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,13,D,L2,L,56,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,14,A,L1,L,57,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,14,B,M1,M,57,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,14,A,L1,L,58,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,14,B,M1,M,58,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,14,A,L1,L,59,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,14,B,M1,M,59,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,14,A,L1,L,60,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,14,B,M1,M,60,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,14,A,L1,L,61,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,14,B,M1,M,61,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,14,A,L1,L,62,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,14,B,M1,M,62,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,14,A,L1,L,63,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,14,B,M1,M,63,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,14,A,L1,L,64,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,14,B,M1,M,64,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,15,C,H1,H,57,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,15,D,L2,L,57,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,15,C,H1,H,58,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,15,D,L2,L,58,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,15,C,H1,H,59,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,15,D,L2,L,59,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,15,C,H1,H,60,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,15,D,L2,L,60,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,15,C,H1,H,61,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,15,D,L2,L,61,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,15,C,H1,H,62,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,15,D,L2,L,62,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,15,C,H1,H,63,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,15,D,L2,L,63,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,15,C,H1,H,64,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,15,D,L2,L,64,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,16,A,L1,L,65,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,16,B,M1,M,65,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,16,A,L1,L,66,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,16,B,M1,M,66,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,16,A,L1,L,67,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,16,B,M1,M,67,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,16,A,L1,L,68,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,16,B,M1,M,68,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,16,A,L1,L,69,0,1
