,R,G,B,H,S,V
0,0.20079411764705943,0.17168627450980417,0.11387254901960803,0.11085419956387658,0.43288901909086547,0.20079411764705943
1,0.1968529411764714,0.17040196078431422,0.11139215686274533,0.11508164123742852,0.43413516609393016,0.1968529411764714
2,0.20135294117647104,0.1699509803921573,0.11203921568627456,0.10806805708013197,0.4435680202551378,0.20135294117647104
3,0.2071274509803925,0.17306862745098045,0.1141960784313729,0.10558427400921283,0.44866758176740584,0.2071274509803925
4,0.20424509803921595,0.1717549019607845,0.11650980392156882,0.10494654896264005,0.4295588729419669,0.20424509803921595
5,0.21057843137254964,0.17557843137254925,0.12092156862745117,0.1016037907782026,0.4257647004050476,0.21057843137254964
6,0.21919607843137334,0.1785588235294122,0.12013725490196098,0.09829440485616237,0.45191877627694893,0.21919607843137334
7,0.21434313725490292,0.1797058823529415,0.1196764705882355,0.1056855840927914,0.44165942459863855,0.21434313725490292
8,0.21952941176470656,0.18108823529411822,0.12063725490196094,0.10188030798717838,0.45047338335119785,0.21952941176470656
9,0.21631372549019695,0.18276470588235363,0.12448039215686306,0.1057791537667699,0.42453770848440986,0.21631372549019695
10,0.21503921568627546,0.18355882352941205,0.12163725490196098,0.11049298485007449,0.4343485000455929,0.21503921568627546
11,0.2207058823529416,0.18884313725490232,0.12274509803921578,0.11245663197224452,0.4438521677327654,0.2207058823529416
12,0.22547058823529434,0.19270588235294145,0.12670588235294145,0.1113758189398452,0.43803809026871837,0.22547058823529434
13,0.22944117647058893,0.1962549019607847,0.12840196078431398,0.11192509217931278,0.44037089262060475,0.22944117647058893
14,0.22960784313725544,0.19119607843137254,0.13150980392156889,0.10140582317276227,0.4272416737830916,0.22960784313725544
15,0.23014705882353048,0.19264705882352953,0.13007843137254915,0.10420952940792166,0.4348029818956357,0.23014705882353048
16,0.23185294117647146,0.19410784313725535,0.13163725490196113,0.10389356290354101,0.4322381496046351,0.23185294117647146
17,0.23798039215686267,0.20237254901960824,0.14170588235294157,0.10502376103190819,0.40454807613083776,0.23798039215686267
18,0.22556862745098108,0.1965882352941184,0.1363039215686279,0.11255720300201381,0.39573191933240603,0.22556862745098108
19,0.2368529411764702,0.20447058823529432,0.13483333333333378,0.11376449484271946,0.43072974874787584,0.2368529411764702
20,0.22474509803921644,0.1957941176470596,0.1395490196078436,0.11003068661296532,0.3790786948176583,0.22474509803921644
21,0.2359803921568631,0.2013235294117657,0.1386666666666668,0.10731076633756591,0.4123805567095973,0.2359803921568631
22,0.2410392156862752,0.21135294117647138,0.14196078431372583,0.11672933570816052,0.4110469372813799,0.2410392156862752
23,0.20355882352941201,0.1758725490196083,0.1132843137254905,0.11555169417897516,0.4434811925058991,0.20355882352941201
24,0.2104117647058824,0.1754019607843141,0.1146666666666669,0.10572394020069675,0.45503680924424467,0.2104117647058824
25,0.2120490196078437,0.17615686274509837,0.1135588235294118,0.10592939146592335,0.46446899995376706,0.2120490196078437
26,0.2114509803921571,0.17733333333333362,0.11619607843137268,0.10697131878688092,0.4504821958456973,0.2114509803921571
27,0.21325490196078514,0.1806568627450983,0.11650000000000026,0.1105144053771061,0.4537054063994125,0.21325490196078514
28,0.213509803921569,0.17840196078431422,0.12090196078431405,0.10348295574846521,0.43374047203599914,0.213509803921569
29,0.21750980392156893,0.17741176470588285,0.12086274509803935,0.09751809021437795,0.44433426485170846,0.21750980392156893
30,0.22485294117647167,0.18192156862745165,0.12101960784313727,0.09775595631511036,0.461783300632224,0.22485294117647167
31,0.22031372549019668,0.18081372549019664,0.12281372549019634,0.0991452991452993,0.44255072979708115,0.22031372549019668
32,0.20767647058823574,0.17637254901960808,0.1262745098039217,0.10257336705608398,0.3919652551574383,0.20767647058823574
33,0.21118627450980465,0.18145098039215724,0.12816666666666696,0.1069713430955751,0.39311081194002206,0.21118627450980465
34,0.2142254901960794,0.18441176470588277,0.12776470588235328,0.10919605397437289,0.4035970893780616,0.2142254901960794
35,0.21714705882353055,0.18674509803921585,0.12855882352941198,0.10946952929024518,0.40796424217797855,0.21714705882353055
36,0.23117647058823607,0.19877450980392222,0.13234313725490232,0.11202592335416463,0.42752332485156946,0.23117647058823607
37,0.23266666666666735,0.19942156862745164,0.1355686274509805,0.10960218093699543,0.41732681611326605,0.23266666666666735
38,0.23819607843137292,0.19797058823529454,0.1340686274509807,0.10228164328531537,0.4371501481725383,0.23819607843137292
39,0.24320588235294127,0.20122549019607885,0.14081372549019652,0.09833397165836875,0.4210101987342266,0.24320588235294127
40,0.24190196078431495,0.20897058823529446,0.14606862745098068,0.10939471440750116,0.3961660047013069,0.24190196078431495
41,0.24458823529411816,0.2087254901960787,0.14131372549019652,0.10879058287450126,0.4222382555715883,0.24458823529411816
42,0.24588235294117713,0.2111372549019614,0.14196078431372586,0.11094339622641515,0.4226475279106859,0.24588235294117713
43,0.23825490196078453,0.2098137254901961,0.13985294117647093,0.1184949021952107,0.4130112747921973,0.23825490196078453
44,0.23851960784313733,0.2042058823529413,0.1437156862745102,0.10634264046880372,0.3974680422540986,0.23851960784313733
45,0.2354215686274516,0.20674509803921567,0.13917647058823565,0.11700791144612992,0.4088202223795444,0.2354215686274516
46,0.20914705882352955,0.18002941176470658,0.11537254901960801,0.11491549050357303,0.44836638072469837,0.20914705882352955
47,0.2122843137254912,0.17795098039215734,0.11403921568627463,0.1084223131424006,0.4627996120629955,0.2122843137254912
48,0.21248039215686326,0.17642156862745154,0.11421568627450997,0.10550733313379257,0.4624648179762844,0.21248039215686326
49,0.22426470588235353,0.18091176470588294,0.12040196078431403,0.09709898684790151,0.4631256830601093,0.22426470588235353
50,0.2192450980392163,0.18171568627451049,0.12048039215686294,0.10333531864204921,0.45047623306354306,0.2192450980392163
51,0.22090196078431446,0.18556862745098074,0.12275490196078437,0.10666600073252731,0.44430143795491017,0.22090196078431446
52,0.21934313725490243,0.18175490196078503,0.12491176470588253,0.10032530454042148,0.4305189290662857,0.21934313725490243
53,0.22004901960784362,0.18317647058823583,0.12322549019607858,0.10319630079654413,0.44000891067052855,0.22004901960784362
54,0.21388235294117727,0.18005882352941233,0.126745098039216,0.1019726972697269,0.4074074074074082,0.21388235294117727
55,0.20692156862745092,0.17562745098039262,0.12233333333333349,0.10500695410292159,0.408793707950345,0.20692156862745092
56,0.20400980392156842,0.17186274509803962,0.11593137254901995,0.10583630157316788,0.4317362679609762,0.20400980392156842
57,0.20752941176470618,0.1754901960784318,0.12159803921568656,0.10452557520441175,0.41406840513983323,0.20752941176470618
58,0.2105392156862752,0.18097058823529472,0.12566666666666693,0.10860190212159727,0.40311990686845245,0.2105392156862752
59,0.22857843137254946,0.19741176470588317,0.13192156862745125,0.11292558406870279,0.42286081921509755,0.22857843137254946
60,0.2259705882352949,0.19617647058823579,0.1370980392156866,0.11079242507813909,0.3932925506529573,0.2259705882352949
61,0.23420588235294126,0.20100980392156914,0.14084313725490233,0.10740662956351349,0.39863535518439314,0.23420588235294126
62,0.24211764705882377,0.20791176470588232,0.14544117647058852,0.1076969881350771,0.3992954324586972,0.24211764705882377
63,0.2402745098039223,0.20978431372549067,0.1488039215686278,0.11111111111111088,0.38069201893259386,0.2402745098039223
64,0.24589215686274613,0.2113823529411771,0.1436372549019612,0.11041866410993899,0.41585263745464773,0.24589215686274613
65,0.24731372549019678,0.21327450980392232,0.14493137254901994,0.1112547479970637,0.4139776421152782,0.24731372549019678
66,0.24205882352941255,0.20809803921568673,0.14321568627451003,0.10940289625074368,0.40834345889023993,0.24205882352941255
67,0.23894117647058813,0.21042156862745182,0.1438333333333335,0.11668900113390522,0.3980387329722623,0.23894117647058813
68,0.2359215686274514,0.2110392156862752,0.14008823529411793,0.12339300937766466,0.40620844414893603,0.2359215686274514
69,0.2106176470588241,0.18354901960784378,0.12045098039215706,0.11663223514914318,0.4281059442349771,0.2106176470588241
70,0.21663725490196167,0.1815588235294122,0.11869607843137282,0.10697364030697322,0.45209756980585697,0.21663725490196167
71,0.21774509803921646,0.1825686274509809,0.11635294117647091,0.10884419519112985,0.4656461053579473,0.21774509803921646
72,0.21677450980392174,0.17578431372549028,0.12055882352941198,0.09566265878676701,0.44385147664058555,0.21677450980392174
73,0.22679411764705912,0.1841764705882355,0.1223725490196081,0.09864488467436534,0.46042450179397354,0.22679411764705912
74,0.22124509803921646,0.18171568627451049,0.12198039215686293,0.10029629629629654,0.44866397837550515,0.22124509803921646
75,0.21738235294117725,0.18201960784313742,0.12729411764705903,0.10124424130300651,0.41442294682722347,0.21738235294117725
76,0.21284313725490228,0.17894117647058877,0.12196078431372576,0.10449478604818453,0.4269921695071392,0.21284313725490228
77,0.2038137254901962,0.17452941176470627,0.11865686274509833,0.10935221429119697,0.41781711482033657,0.2038137254901962
78,0.1994117647058828,0.1640980392156866,0.11696078431372581,0.09528339278636533,0.4134709931170105,0.1994117647058828
79,0.21049019607843178,0.17483333333333356,0.11970588235294138,0.10120590352771759,0.4312994876571962,0.21049019607843178
80,0.20951960784313783,0.1766862745098042,0.11804901960784342,0.10684172918899572,0.4365729259276592,0.20951960784313783
81,0.21414705882353044,0.18234313725490217,0.1211862745098042,0.10964634746537198,0.4340978803277952,0.21414705882353044
82,0.21542156862745185,0.1815490196078436,0.12509803921568655,0.10416440536922429,0.41928730714968476,0.21542156862745185
83,0.22215686274509827,0.18868627450980446,0.12461764705882385,0.10947498911113392,0.4390556045895843,0.22215686274509827
84,0.2214509803921565,0.18897058823529442,0.13105882352941212,0.10677874186551052,0.4081813352222393,0.2214509803921565
85,0.23352941176470668,0.20237254901960816,0.14114705882352965,0.11045668400014097,0.39559193954660055,0.23352941176470668
86,0.23845098039215717,0.20600000000000013,0.14904901960784347,0.1061702672076613,0.3749280486802066,0.23845098039215717
87,0.2534705882352943,0.21870588235294125,0.1517450980392161,0.10970830120791542,0.401330548464453,0.2534705882352943
88,0.2554705882352941,0.22157843137254912,0.15015686274509857,0.11302985167256242,0.4122342466804799,0.2554705882352941
89,0.25806862745098064,0.21790196078431387,0.14944117647058858,0.10503910950661832,0.4209246666413395,0.25806862745098064
90,0.24183333333333415,0.21117647058823621,0.14625490196078486,0.11320819229322698,0.3952243888596098,0.24183333333333415
91,0.24713725490196167,0.21728431372549084,0.14674509803921615,0.11710611979166648,0.4062202475404636,0.24713725490196167
92,0.21477450980392235,0.18232352941176524,0.11625490196078447,0.11176899857365569,0.4587118272698236,0.21477450980392235
93,0.21035294117647116,0.17474509803921603,0.11618627450980391,0.10364393545028631,0.44766032811334977,0.21035294117647116
94,0.22210784313725515,0.1777647058823533,0.1143137254901964,0.09810519933303029,0.48532332818362306,0.22210784313725515
95,0.2241470588235302,0.1811078431372555,0.12209803921568656,0.09637493194991519,0.45527708524690613,0.2241470588235302
96,0.22118627450980483,0.17891176470588274,0.11976470588235323,0.09719671338810977,0.45853463942201234,0.22118627450980483
97,0.22207843137254973,0.17742156862745154,0.11972549019607868,0.0939495530012772,0.4608864559420808,0.22207843137254973
98,0.2077745098039217,0.17355882352941213,0.11729411764705919,0.103640697800412,0.43547397725663994,0.2077745098039217
99,0.19820588235294165,0.1668333333333336,0.1143529411764706,0.10431037842472422,0.42305980115744307,0.19820588235294165
100,0.20453921568627442,0.17143137254901986,0.1148039215686277,0.10517498816417242,0.4387192637683923,0.20453921568627442
101,0.20415686274509837,0.16915686274509845,0.11788235294117673,0.09905303030303052,0.42258932001536653,0.20415686274509837
102,0.20212745098039236,0.16831372549019644,0.11799019607843166,0.09968538802144046,0.4162584275112763,0.20212745098039236
103,0.2098627450980394,0.17632352941176496,0.11991176470588255,0.1045231607629429,0.42861814444548213,0.2098627450980394
104,0.20910784313725553,0.1770294117647065,0.11966666666666681,0.10689100807482947,0.42772750714989083,0.20910784313725553
105,0.21681372549019673,0.18200980392156904,0.12565686274509813,0.10303291030329098,0.42043861632376345,0.21681372549019673
106,0.2172745098039222,0.18178431372549092,0.12310784313725504,0.1038521603331603,0.4333995126793621,0.2172745098039222
107,0.2267058823529414,0.19188235294117661,0.127558823529412,0.10812815188371389,0.43733783082511624,0.2267058823529414
108,0.2239215686274511,0.19200000000000045,0.126637254901961,0.11197890422923225,0.43445709281961403,0.2239215686274511
109,0.24080392156862776,0.2055294117647064,0.14365686274509842,0.10614929188952836,0.4034280596042659,0.24080392156862776
110,0.2514019607843144,0.2137156862745104,0.14821568627451026,0.10579572446555817,0.41044339585851874,0.2514019607843144
111,0.26027450980392186,0.21849019607843137,0.1517647058823533,0.10248765209010913,0.416905228265782,0.26027450980392186
112,0.2632352941176473,0.22019607843137287,0.15092156862745143,0.10279911545623838,0.4266666666666655,0.2632352941176473
113,0.2551568627450984,0.2149215686274515,0.1474019607843141,0.1044339307918602,0.42230846076999856,0.2551568627450984
114,0.24792156862745138,0.20904901960784358,0.14486274509803962,0.10380200405885344,0.4156912369503315,0.24792156862745138
115,0.2192352941176477,0.18176470588235355,0.11646078431372577,0.10590161849343399,0.4687863339593957,0.2192352941176477
116,0.21331372549019664,0.1768823529411767,0.1164607843137257,0.10397476127813175,0.4540398933725531,0.21331372549019664
117,0.22621568627451058,0.17898039215686332,0.11740196078431393,0.09431780640898585,0.4810175955621054,0.22621568627451058
118,0.22241176470588267,0.1757450980392158,0.11992156862745126,0.09077864932083385,0.46081283611037593,0.22241176470588267
119,0.23010784313725569,0.182303921568628,0.12135294117647068,0.09340725382373281,0.4726257935324457,0.23010784313725569
120,0.2249901960784321,0.1762745098039218,0.12054901960784342,0.08892643699740244,0.4642032332563515,0.2249901960784321
121,0.2140686274509807,0.1737058823529414,0.12094117647058839,0.09443099273607745,0.4350354934737808,0.2140686274509807
122,0.20613725490196114,0.16751960784313785,0.11268627450980408,0.0977933976779975,0.45334347950156967,0.20613725490196114
123,0.2026666666666667,0.16724509803921614,0.11527450980392155,0.09911375364595104,0.43121130030959764,0.2026666666666667
124,0.20241176470588237,0.16625490196078477,0.11576470588235308,0.0971185034321498,0.4280732345248468,0.20241176470588237
125,0.21254901960784323,0.17159803921568667,0.11462745098039229,0.09696635963155836,0.4607011070110697,0.21254901960784323
126,0.20678431372549028,0.1697450980392162,0.11769607843137274,0.0973735372877011,0.4308268537834243,0.20678431372549028
127,0.2114313725490201,0.17557843137254964,0.1189803921568629,0.1020325203252037,0.4372623574144493,0.2114313725490201
128,0.21263725490196111,0.17430392156862776,0.11776470588235308,0.0993248596328064,0.4461708700262808,0.21263725490196111
129,0.23398039215686312,0.19090196078431426,0.1289411764705886,0.09831373281065302,0.44892315427805185,0.23398039215686312
130,0.22256862745098027,0.18409803921568646,0.12304901960784348,0.10223951663218751,0.4471412210377922,0.22256862745098027
131,0.2278235294117656,0.19211764705882367,0.1255784313725492,0.10846357912231835,0.44879077373268056,0.2278235294117656
132,0.21910784313725482,0.1872549019607848,0.12740196078431404,0.10877699379944485,0.41854221665398733,0.21910784313725482
133,0.25390196078431426,0.21180392156862854,0.14830392156862782,0.10022282053662711,0.41590084176384257,0.25390196078431426
134,0.2608921568627461,0.2141176470588248,0.14916666666666703,0.09689072189072272,0.4282439592649664,0.2608921568627461
135,0.2665490196078434,0.2176666666666672,0.1522352941176474,0.09539736992567216,0.4288656760335434,0.2665490196078434
136,0.2520098039215694,0.20884313725490253,0.14373529411764752,0.10022033079801991,0.4296440381248784,0.2520098039215694
137,0.25947058823529523,0.2153627450980401,0.14650000000000035,0.1015939136220314,0.43538880072546016,0.25947058823529523
138,0.22056862745098102,0.1814215686274515,0.11791176470588241,0.10311017731512451,0.46541914836874515,0.22056862745098102
139,0.21759803921568696,0.17685294117647085,0.11833333333333348,0.09825514403292146,0.4561838251858537,0.21759803921568696
140,0.22201960784313773,0.17600000000000032,0.11808823529411791,0.09286859730214121,0.46811798993199677,0.22201960784313773
141,0.22632352941176553,0.1772156862745103,0.12037254901960798,0.08941735295024826,0.46813948451375487,0.22632352941176553
142,0.22843137254902018,0.18001960784313778,0.11922549019607853,0.09278211688661485,0.4780686695278979,0.22843137254902018
143,0.2253235294117647,0.17641176470588285,0.12075490196078471,0.08870866929183124,0.46408214767436623,0.2253235294117647
144,0.20825490196078483,0.1678333333333338,0.11907843137254924,0.09112063910876593,0.42820826664155953,0.20825490196078483
145,0.20773529411764755,0.16349019607843174,0.11517647058823532,0.0869964339935743,0.4455613761857579,0.20773529411764755
146,0.2072450980392161,0.16614705882352981,0.1133627450980393,0.0937064884433308,0.45300156109560596,0.2072450980392161
147,0.20682352941176516,0.16699019607843188,0.11681372549019621,0.09290926914279528,0.43520098596890466,0.20682352941176516
148,0.20881372549019647,0.16822549019607888,0.1150294117647061,0.09453620461356216,0.44912906709235173,0.20881372549019647
149,0.21384313725490223,0.17220588235294126,0.11615686274509819,0.09562759266693409,0.4568127636163579,0.21384313725490223
150,0.21167647058823605,0.17379411764705943,0.12006862745098051,0.09774543378995454,0.43277291464036083,0.21167647058823605
151,0.2204019607843145,0.1772450980392162,0.11923529411764727,0.0955680459992893,0.45900983052355415,0.2204019607843145
152,0.21988235294117714,0.180568627450981,0.12614705882352958,0.09676463410382485,0.4262974852862503,0.21988235294117714
153,0.2303529411764708,0.18968627450980408,0.12474509803921605,0.10248793167471204,0.4584610146407888,0.2303529411764708
154,0.2192843137254907,0.18325490196078476,0.1240098039215689,0.10363929477944711,0.434479366924487,0.2192843137254907
155,0.24033333333333384,0.19710784313725557,0.13179411764705923,0.10029205431608136,0.4516194827445536,0.24033333333333384
156,0.24611764705882386,0.20410784313725505,0.142196078431373,0.09929245283018832,0.42224346717654454,0.24611764705882386
