# gitter v1.1.1 data file generated on Wed May 29 03:24:51 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1797	0.1455	C
1	2	0	NA	
1	3	783	0.8703	
1	4	0	NA	
1	5	644	0.8471	
1	6	0	NA	
1	7	821	0.8252	
1	8	0	NA	
1	9	1116	0.7942	
1	10	380	0.8051	
1	11	1037	0.8592	
1	12	0	NA	
1	13	989	0.8386	
1	14	0	NA	
1	15	1090	0.8583	
1	16	0	NA	
1	17	841	0.7723	
1	18	0	NA	
1	19	938	0.8603	
1	20	0	NA	
1	21	852	0.7616	
1	22	0	NA	
1	23	994	0.8442	
1	24	279	0.1898	C
2	1	478	0.789	
2	2	763	0.8351	
2	3	0	NA	
2	4	774	0.7838	
2	5	0	NA	
2	6	0	NA	
2	7	49	0.7911	
2	8	638	0.8334	
2	9	1029	0.9289	
2	10	0	NA	
2	11	0	NA	
2	12	0	NA	
2	13	1044	0.818	
2	14	0	NA	
2	15	0	NA	
2	16	0	NA	
2	17	0	NA	
2	18	1008	0.91	
2	19	0	NA	
2	20	0	NA	
2	21	606	0.8497	
2	22	501	0.8593	
2	23	1065	0.814	
2	24	0	NA	
3	1	1068	0.8779	
3	2	0	NA	
3	3	843	0.8574	
3	4	3	6.4681	
3	5	591	0.8805	
3	6	0	NA	
3	7	846	0.8923	
3	8	0	NA	
3	9	808	0.9329	
3	10	6	1.2861	
3	11	957	0.8675	
3	12	20	0.662	
3	13	985	0.8929	
3	14	21	1.4149	
3	15	605	0.8336	
3	16	9	0.9959	
3	17	1120	0.8374	
3	18	2	25.1327	
3	19	706	0.8513	
3	20	816	0.9029	
3	21	624	0.8391	
3	22	35	1.0237	
3	23	1124	0.9276	
3	24	0	NA	
4	1	0	NA	
4	2	0	NA	
4	3	0	NA	
4	4	0	NA	
4	5	970	0.8585	
4	6	0	NA	
4	7	0	NA	
4	8	0	NA	
4	9	776	0.8626	
4	10	55	0.9264	
4	11	0	NA	
4	12	0	NA	
4	13	785	0.8823	
4	14	0	NA	
4	15	779	0.8139	
4	16	0	NA	
4	17	0	NA	
4	18	717	0.7847	
4	19	545	0.7587	
4	20	0	NA	
4	21	0	NA	
4	22	733	0.8463	
4	23	897	0.8551	
4	24	0	NA	
5	1	1229	0.8243	
5	2	9	0.5712	C
5	3	984	0.8198	
5	4	0	NA	
5	5	555	0.8641	
5	6	391	0.8732	
5	7	813	0.8667	
5	8	0	NA	
