# gitter v1.1.1 data file generated on Wed May 29 03:23:46 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	3004	0.5547	C
1	2	184	0.9877	
1	3	3269	0.84	
1	4	1639	0.8487	
1	5	1472	0.8622	
1	6	1496	0.7722	
1	7	2045	0.8519	
1	8	1688	0.7782	
1	9	2198	0.849	
1	10	1543	0.7014	
1	11	3266	0.9006	
1	12	677	0.915	
1	13	3265	0.8769	
1	14	1861	0.8692	
1	15	2789	0.8654	
1	16	392	0.9675	
1	17	2479	0.8284	
1	18	1391	0.6768	
1	19	1031	0.9163	
1	20	540	0.952	
1	21	2093	0.8331	
1	22	0	NA	
1	23	2790	0.7683	
1	24	7010	0.0579	S,C
2	1	61	1.1428	
2	2	1665	0.6964	
2	3	0	NA	
2	4	831	0.9136	
2	5	0	NA	
2	6	0	NA	
2	7	1185	0.8265	
2	8	833	0.9259	
2	9	1219	0.8416	
2	10	0	NA	
2	11	0	NA	
2	12	0	NA	
2	13	1904	0.7879	
2	14	0	NA	
2	15	0	NA	
2	16	0	NA	
2	17	0	NA	
2	18	1760	0.8104	
2	19	0	NA	
2	20	0	NA	
2	21	992	0.9082	
2	22	2338	0.6482	
2	23	1175	0.8899	
2	24	0	NA	
3	1	3596	0.8722	
3	2	0	NA	
3	3	1858	0.7868	
3	4	1015	0.8377	
3	5	2549	0.7902	
3	6	415	0.9628	
3	7	1384	0.8669	
3	8	868	0.9337	
3	9	2326	0.7622	
3	10	1024	0.7971	
3	11	2887	0.7935	
3	12	982	0.9306	
3	13	2357	0.8546	
3	14	934	0.8432	
3	15	786	0.8547	
3	16	911	0.8979	
3	17	2143	0.8386	
3	18	1103	0.8633	
3	19	2329	0.7168	
3	20	2187	0.6647	
3	21	1366	0.8292	
3	22	1173	0.866	
3	23	2158	0.8637	
3	24	0	NA	
4	1	0	NA	
4	2	0	NA	
4	3	0	NA	
4	4	0	NA	
4	5	2848	0.8353	
4	6	0	NA	
4	7	0	NA	
4	8	0	NA	
