# gitter v1.1.1 data file generated on Wed May 29 03:23:21 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	3686	0.2689	S,C
1	2	2107	0.8179	
1	3	562	0.1646	C
1	4	1924	0.8015	
1	5	0	NA	
1	6	971	0.8313	
1	7	1860	0.7696	
1	8	3363	0.8469	
1	9	0	NA	
1	10	2133	0.8056	
1	11	0	NA	
1	12	0	NA	
1	13	0	NA	
1	14	3124	0.8149	
1	15	1837	0.7748	
1	16	2570	0.8714	
1	17	0	NA	
1	18	3140	0.8009	
1	19	917	0.9189	
1	20	2344	0.786	
1	21	0	NA	
1	22	0	NA	
1	23	2701	0.7327	
1	24	4594	0.1239	S,C
2	1	2385	0.8443	
2	2	1461	0.7244	
2	3	1629	0.8394	
2	4	1212	0.8757	
2	5	0	NA	
2	6	2344	0.8393	
2	7	0	NA	
2	8	0	NA	
2	9	3102	0.8449	
2	10	842	0.8786	
2	11	0	NA	
2	12	1014	0.9377	
2	13	3203	0.851	
2	14	2076	0.7065	
2	15	1905	0.7927	
2	16	0	NA	
2	17	0	NA	
2	18	0	NA	
2	19	867	0.9144	
2	20	0	NA	
2	21	1322	0.9062	
2	22	0	NA	
2	23	2195	0.8281	
2	24	5268	0.1408	C
3	1	0	NA	
3	2	0	NA	
3	3	0	NA	
3	4	1549	0.8942	
3	5	0	NA	
3	6	0	NA	
3	7	0	NA	
3	8	346	0.9259	
3	9	0	NA	
3	10	694	0.8506	
3	11	1262	0.8528	
3	12	323	0.9171	
3	13	848	0.9426	
3	14	1261	0.8951	
3	15	0	NA	
3	16	0	NA	
3	17	0	NA	
3	18	1506	0.8597	
3	19	0	NA	
3	20	1731	0.5846	C
3	21	0	NA	
3	22	2436	0.5903	C
3	23	0	NA	
3	24	1078	0.8778	
4	1	1361	0.8771	
4	2	0	NA	
4	3	1490	0.8478	
4	4	1292	0.9012	
4	5	0	NA	
4	6	0	NA	
4	7	0	NA	
4	8	0	NA	
4	9	0	NA	
4	10	1216	0.8818	
4	11	790	0.9164	
4	12	1129	0.6909	
4	13	795	0.9389	
4	14	1000	0.9028	
4	15	855	0.8734	
4	16	0	NA	
4	17	2165	0.8459	
4	18	0	NA	
