# gitter v1.1.1 data file generated on Wed May 29 03:24:27 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1742	0.2017	C
1	2	476	0.6733	
1	3	153	0.7099	
1	4	659	0.8228	
1	5	0	NA	
1	6	699	0.7795	
1	7	482	0.8	
1	8	830	0.7866	
1	9	0	NA	
1	10	1082	0.7401	
1	11	0	NA	
1	12	8	0.7398	
1	13	7	0.9433	
1	14	1091	0.8201	
1	15	842	0.8601	
1	16	1211	0.9021	
1	17	21	0.971	
1	18	1188	0.8329	
1	19	621	0.8663	
1	20	1017	0.748	
1	21	24	1.3278	
1	22	2	25.1327	
1	23	529	0.8663	
1	24	1098	0.173	C
2	1	597	0.8736	
2	2	503	0.7891	
2	3	516	0.8034	
2	4	760	0.8318	
2	5	0	NA	
2	6	861	0.9321	
2	7	0	NA	
2	8	0	NA	
2	9	810	0.8729	
2	10	1	Inf	
2	11	0	NA	
2	12	807	0.8681	
2	13	712	0.8448	
2	14	881	0.8314	
2	15	551	0.8692	
2	16	8	1.7147	
2	17	2	25.1327	
2	18	1	Inf	
2	19	567	0.8993	
2	20	6	0.5549	C
2	21	899	0.8448	
2	22	11	0.5194	C
2	23	886	0.8482	
2	24	866	0.8427	
3	1	0	NA	
3	2	0	NA	
3	3	0	NA	
3	4	668	0.9158	
3	5	0	NA	
3	6	0	NA	
3	7	0	NA	
3	8	0	NA	
3	9	0	NA	
3	10	0	NA	
3	11	874	0.8248	
3	12	0	NA	
3	13	383	0.9389	
3	14	577	0.7601	
3	15	0	NA	
3	16	5	0.7355	
3	17	4	1.078	
3	18	798	0.8639	
3	19	9	0.4474	C
3	20	78	0.686	
3	21	15	0.3993	C
3	22	943	0.7628	
3	23	8	0.3892	C
3	24	1054	0.8901	
4	1	841	0.8254	
4	2	0	NA	
4	3	356	0.9082	
4	4	562	0.7705	
4	5	0	NA	
4	6	0	NA	
4	7	0	NA	
4	8	0	NA	
4	9	0	NA	
4	10	825	0.8931	
4	11	353	0.8571	
4	12	688	0.9298	
4	13	401	0.9014	
4	14	818	0.9279	
4	15	903	0.7473	
4	16	0	NA	
4	17	1030	0.842	
4	18	13	0.8759	
4	19	957	0.7669	
4	20	752	0.8452	
4	21	682	0.763	
4	22	1246	0.8923	
4	23	618	0.7626	
4	24	0	NA	
5	1	0	NA	
5	2	786	0.8602	
5	3	0	NA	
5	4	904	0.8081	
5	5	474	0.8357	
5	6	0	NA	
5	7	450	0.8443	
5	8	685	0.7749	
5	9	513	0.8244	
5	10	0	NA	
5	11	708	0.9248	
5	12	6	0.4707	C
5	13	100	0.578	C
5	14	737	0.8549	
5	15	568	0.9251	
5	16	745	0.874	
5	17	0	NA	
5	18	792	0.8481	
5	19	600	0.8959	
5	20	766	0.8609	
5	21	341	0.8224	
5	22	12	1.1098	
5	23	707	0.9171	
5	24	1153	0.9094	
6	1	0	NA	
6	2	458	0.8188	
6	3	0	NA	
6	4	0	NA	
6	5	753	0.8463	
6	6	0	NA	
6	7	426	0.751	
6	8	662	0.7945	
6	9	665	0.8206	
6	10	3	3.2341	
6	11	481	0.8699	
6	12	5	0.7355	
6	13	538	0.8454	
6	14	719	0.9438	
6	15	13	0.8759	
6	16	22	0.8629	
6	17	32	0.4307	C
6	18	980	0.8024	
6	19	1015	0.8457	
6	20	693	0.8453	
6	21	12	1.3716	
6	22	18	0.6333	
6	23	684	0.9198	
6	24	0	NA	
7	1	865	0.8615	
7	2	819	0.8508	
7	3	18	0.5812	C
7	4	690	0.9232	
7	5	483	0.8934	
7	6	776	0.8097	
7	7	640	0.836	
7	8	548	0.7369	
7	9	678	0.8856	
7	10	1	Inf	
7	11	869	0.7877	
7	12	749	0.8989	
7	13	682	0.7926	
7	14	1	Inf	
7	15	914	0.8517	
7	16	0	NA	
7	17	653	0.8004	
7	18	155	0.7288	
7	19	907	0.9265	
7	20	22	1.0173	
7	21	880	0.9017	
7	22	931	0.7952	
7	23	715	0.785	
7	24	92	0.7612	
8	1	989	0.7779	
8	2	4	1.078	
8	3	616	0.7393	
8	4	0	NA	
8	5	471	0.819	
8	6	395	0.902	
8	7	396	0.7971	
8	8	703	0.903	
8	9	684	0.8725	
8	10	886	0.9051	
8	11	852	0.8362	
8	12	554	0.9373	
8	13	468	0.8656	
8	14	1142	0.8516	
8	15	739	0.8333	
8	16	23	0.9271	
8	17	22	1.0173	
8	18	1088	0.8695	
8	19	580	0.8174	
8	20	81	0.5306	C
8	21	648	0.6762	
8	22	12	0.8292	
8	23	549	0.8034	
8	24	413	0.8619	
9	1	3	37.6991	
