# gitter v1.1.1 data file generated on Wed May 29 03:24:59 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	2161	0.2022	C
1	2	0	NA	
1	3	1027	0.7964	
1	4	0	NA	
1	5	784	0.7925	
1	6	0	NA	
1	7	835	0.756	
1	8	0	NA	
1	9	958	0.7982	
1	10	0	NA	
1	11	783	0.8295	
1	12	25	1.078	
1	13	0	NA	
1	14	822	0.7985	
1	15	41	1.2277	
1	16	999	0.8518	
1	17	59	0.7332	
1	18	1042	0.7332	
1	19	80	0.8928	
1	20	1138	0.8825	
1	21	793	0.8275	
1	22	985	0.8564	
1	23	14	0.8385	
1	24	790	0.7586	
2	1	883	0.881	
2	2	631	0.7994	
2	3	19	0.7311	
2	4	876	0.8855	
2	5	653	0.8737	
2	6	0	NA	
2	7	904	0.9251	
2	8	40	0.822	
2	9	1045	0.9034	
2	10	884	0.8624	
2	11	841	0.8776	
2	12	677	0.8452	
2	13	53	0.3418	S,C
2	14	1039	0.8414	
2	15	599	0.9552	
2	16	17	1.0181	
2	17	19	0.7658	
2	18	158	0.8481	
2	19	9	1.2128	
2	20	0	NA	
2	21	10	0.3922	C
2	22	803	0.8507	
2	23	59	0.9137	
2	24	692	0.8172	
3	1	1017	0.8965	
3	2	0	NA	
3	3	935	0.8005	
3	4	0	NA	
3	5	852	0.8122	
3	6	0	NA	
3	7	907	0.8473	
3	8	0	NA	
3	9	970	0.7855	
3	10	0	NA	
3	11	945	0.7269	
3	12	42	0.8237	
3	13	0	NA	
3	14	926	0.8394	
3	15	2	25.1327	
3	16	939	0.8007	
3	17	18	1.078	
3	18	1013	0.8807	
3	19	0	NA	
3	20	4003	0.854	
3	21	24	0.7309	
3	22	913	0.8869	
3	23	64	0.346	C
3	24	1017	0.8327	
4	1	1017	0.8204	
4	2	886	0.8749	
4	3	0	NA	
4	4	621	0.8453	
4	5	859	0.7832	
4	6	0	NA	
4	7	39	0.9693	
4	8	687	0.9063	
4	9	9	0.5712	C
4	10	62	0.8674	
4	11	819	0.8638	
4	12	25	1.078	
4	13	0	NA	
4	14	984	0.9009	
4	15	69	0.6124	
4	16	83	1.0315	
4	17	938	0.898	
4	18	18	0.9959	
4	19	593	0.813	
4	20	933	0.8842	
4	21	732	0.8452	
4	22	787	0.8927	
4	23	409	0.8855	
4	24	11	0.335	C
5	1	1214	0.8122	
5	2	0	NA	
5	3	1013	0.9055	
5	4	0	NA	
5	5	983	0.7834	
5	6	31	1.2159	
5	7	842	0.8027	
5	8	0	NA	
5	9	1040	0.8597	
5	10	34	0.8909	
5	11	1033	0.8492	
5	12	0	NA	
5	13	0	NA	
5	14	983	0.8498	
5	15	27	0.7642	
5	16	916	0.8098	
5	17	24	0.4222	C
5	18	1010	0.8903	
5	19	0	NA	
5	20	916	0.8303	
5	21	0	NA	
5	22	905	0.817	
5	23	0	NA	
5	24	1032	0.7579	
6	1	0	NA	
6	2	0	NA	
6	3	1145	0.8409	
6	4	6	0.4707	C
6	5	0	NA	
6	6	0	NA	
6	7	57	0.8295	
6	8	10	0.9248	
6	9	72	0.8323	
6	10	732	0.9448	
6	11	105	0.7768	
6	12	0	NA	
6	13	0	NA	
6	14	13	1.2022	
6	15	864	0.8696	
6	16	867	0.7905	
6	17	634	0.7523	
6	18	22	1.2172	
6	19	704	0.8275	
6	20	36	0.9959	
6	21	500	0.8479	
6	22	721	0.8555	
6	23	595	0.8447	
6	24	929	0.8591	
7	1	1381	0.8355	
7	2	0	NA	
7	3	1060	0.7707	
7	4	60	1.1033	
7	5	876	0.8597	
7	6	81	0.9364	
7	7	916	0.8807	
7	8	94	0.853	
7	9	1078	0.914	
7	10	27	1.1319	
7	11	1176	0.9105	
7	12	103	0.762	
7	13	0	NA	
7	14	972	0.8638	
7	15	16	0.8852	
7	16	1044	0.8602	
7	17	46	1.0635	
7	18	167	0.7278	
7	19	17	1.1454	
7	20	1052	0.86	
7	21	33	0.7908	
7	22	986	0.7976	
7	23	71	0.3338	C
7	24	1085	0.8787	
8	1	0	NA	
8	2	825	0.7898	
8	3	24	0.8085	
8	4	746	0.8091	
8	5	57	0.8199	
8	6	0	NA	
8	7	986	0.7819	
8	8	649	0.9427	
8	9	1268	0.8692	
8	10	670	0.8564	
8	11	178	0.9056	
8	12	23	0.8458	
8	13	0	NA	
8	14	1253	0.8282	
8	15	552	0.8707	
8	16	1272	0.8688	
8	17	821	0.8659	
8	18	118	0.7069	
8	19	688	0.8837	
8	20	26	0.8983	
8	21	777	0.8733	
8	22	68	0.6252	
8	23	40	0.9942	
8	24	61	0.8437	
9	1	1480	0.7882	
9	2	52	0.8759	
9	3	884	0.8463	
9	4	56	1.0982	
9	5	1160	0.8866	
9	6	84	0.7868	
9	7	1125	0.761	
9	8	89	0.9459	
9	9	1045	0.8543	
9	10	117	0.5912	C
9	11	1105	0.8602	
9	12	61	0.742	
9	13	0	NA	
9	14	1028	0.928	
9	15	90	0.7054	
9	16	1054	0.8456	
9	17	47	0.7037	
9	18	1170	0.8795	
9	19	118	0.9362	
9	20	1056	0.8439	
9	21	68	0.5981	C
9	22	1134	0.7979	
9	23	36	0.6333	
9	24	1302	0.8034	
10	1	1304	0.8907	
10	2	571	0.889	
10	3	1214	0.7996	
10	4	0	NA	
10	5	20	0.822	
10	6	0	NA	
10	7	1256	0.8948	
10	8	0	NA	
10	9	1292	0.8367	
10	10	11	1.1278	
10	11	1297	0.906	
10	12	563	0.8388	
10	13	35	0.2598	C
10	14	1419	0.8755	
10	15	33	0.8647	
10	16	1036	0.8869	
10	17	54	0.8718	
10	18	196	0.6816	
10	19	39	0.9488	
10	20	1397	0.8649	
10	21	16	0.8852	
10	22	1311	0.7867	
10	23	275	0.8771	
10	24	1220	0.8769	
11	1	1610	0.7901	
11	2	39	1.0219	
11	3	1099	0.7518	
11	4	44	0.968	
11	5	1097	0.8215	
11	6	46	0.7299	
11	7	36	0.7157	
11	8	57	0.6119	
11	9	1209	0.7822	
11	10	91	1.052	
11	11	1170	0.8861	
11	12	51	1.0278	
11	13	0	NA	
11	14	1302	0.8362	
11	15	131	1.0094	
11	16	1432	0.8484	
11	17	93	0.9119	
11	18	1298	0.9378	
11	19	57	0.2446	C
11	20	1143	0.8736	
11	21	62	0.944	
11	22	981	0.8683	
11	23	19	0.5786	C
11	24	1114	0.8405	
12	1	1536	0.6988	
12	2	832	0.8736	
12	3	1380	0.8606	
12	4	806	0.8162	
12	5	0	NA	
12	6	0	NA	
12	7	1530	0.9004	
12	8	940	0.7832	
12	9	1427	0.9196	
12	10	1187	0.9038	
12	11	87	1.0424	
12	12	1011	0.9037	
12	13	213	0.5099	S,C
12	14	13	0.4125	C
12	15	91	0.5394	C
