# gitter v1.1.1 data file generated on Wed May 29 03:23:13 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1590	0.3544	S,C
1	2	188	0.3267	C
1	3	237	0.0698	C
1	4	0	NA	
1	5	0	NA	
1	6	0	NA	
1	7	0	NA	
1	8	0	NA	
1	9	1502	0.8429	
1	10	0	NA	
1	11	2317	0.8348	
1	12	0	NA	
1	13	0	NA	
1	14	0	NA	
1	15	2537	0.7911	
1	16	0	NA	
1	17	1086	0.8878	
1	18	1219	0.884	
1	19	0	NA	
1	20	0	NA	
1	21	0	NA	
1	22	0	NA	
1	23	762	0.9041	
1	24	3330	0.0862	S,C
2	1	2006	0.839	
2	2	1752	0.8376	
2	3	1458	0.8708	
2	4	2189	0.8388	
2	5	0	NA	
2	6	2346	0.7792	
2	7	0	NA	
2	8	0	NA	
2	9	0	NA	
2	10	0	NA	
2	11	0	NA	
2	12	1150	0.919	
2	13	1793	0.8547	
2	14	0	NA	
2	15	0	NA	
2	16	1890	0.8642	
2	17	726	0.9371	
2	18	435	0.9275	
2	19	0	NA	
2	20	1960	0.8847	
2	21	0	NA	
2	22	1483	0.9076	
2	23	0	NA	
2	24	3770	0.15	C
3	1	0	NA	
3	2	101	0.9286	
3	3	1298	0.8436	
3	4	1084	0.8911	
3	5	0	NA	
3	6	0	NA	
3	7	982	0.9401	
3	8	0	NA	
3	9	0	NA	
3	10	650	0.9114	
3	11	1268	0.9001	
3	12	909	0.9286	
3	13	0	NA	
3	14	0	NA	
3	15	0	NA	
3	16	0	NA	
3	17	0	NA	
3	18	0	NA	
3	19	0	NA	
3	20	0	NA	
3	21	0	NA	
3	22	0	NA	
3	23	0	NA	
3	24	0	NA	
4	1	1036	0.9353	
4	2	0	NA	
4	3	0	NA	
4	4	1996	0.7871	
4	5	0	NA	
4	6	0	NA	
4	7	0	NA	
4	8	2014	0.8101	
4	9	873	0.9013	
4	10	1999	0.7966	
4	11	0	NA	
4	12	1341	0.8908	
4	13	776	0.9208	
4	14	1837	0.8064	
4	15	0	NA	
4	16	1190	0.8818	
4	17	0	NA	
4	18	0	NA	
4	19	454	0.9619	
4	20	1034	0.9562	
4	21	1170	0.8592	
4	22	1757	0.8375	
4	23	0	NA	
4	24	0	NA	
5	1	1250	0.8507	
5	2	371	0.8804	
5	3	0	NA	
5	4	0	NA	
5	5	3666	0.8426	
5	6	0	NA	
5	7	2377	0.779	
5	8	0	NA	
5	9	0	NA	
5	10	0	NA	
5	11	3993	0.9102	
5	12	129	0.9544	
5	13	1130	0.883	
5	14	0	NA	
5	15	4041	0.8844	
5	16	0	NA	
5	17	1594	0.8071	
5	18	0	NA	
5	19	1644	0.8068	
5	20	692	0.9419	
5	21	0	NA	
5	22	1809	0.8095	
5	23	2844	0.8054	
5	24	0	NA	
6	1	1530	0.4319	C
6	2	0	NA	
6	3	3353	0.8526	
6	4	1281	0.7222	
6	5	572	0.8414	
6	6	1111	0.7874	
6	7	3122	0.798	
6	8	2367	0.7493	
6	9	2258	0.7294	
6	10	584	0.9564	
6	11	1615	0.6181	
6	12	2748	0.8721	
6	13	0	NA	
6	14	1645	0.7771	
6	15	939	0.8197	
6	16	1690	0.7389	
6	17	0	NA	
6	18	1389	0.8908	
6	19	0	NA	
6	20	36	0.9227	
6	21	619	0.9222	
6	22	327	0.9285	
6	23	930	0.9223	
6	24	1103	0.8699	
7	1	3772	0.8772	
7	2	0	NA	
7	3	2892	0.851	
7	4	746	0.7621	
7	5	3327	0.9245	
7	6	1410	0.5914	C
7	7	2773	0.8874	
7	8	0	NA	
7	9	1353	0.7873	
7	10	1094	0.3942	C
7	11	3103	0.9049	
7	12	1101	0.4116	C
7	13	3323	0.9014	
7	14	896	0.5547	C
7	15	3551	0.9125	
7	16	0	NA	
7	17	2321	0.7305	
7	18	0	NA	
7	19	3889	0.8734	
7	20	0	NA	
7	21	2308	0.7038	
7	22	0	NA	
7	23	4131	0.891	
7	24	0	NA	
8	1	3809	0.8665	
8	2	1752	0.7398	
8	3	2955	0.8938	
8	4	2408	0.8591	
8	5	2593	0.8518	
8	6	1959	0.5817	C
8	7	2897	0.8713	
8	8	2632	0.9099	
8	9	2531	0.8635	
8	10	2568	0.8946	
8	11	2733	0.8746	
8	12	2845	0.9028	
8	13	1982	0.7859	
8	14	2753	0.8819	
8	15	2603	0.8458	
8	16	3107	0.8682	
8	17	97	0.9642	
8	18	2524	0.7951	
8	19	0	NA	
8	20	2599	0.8437	
8	21	0	NA	
8	22	3120	0.8856	
8	23	439	0.9653	
8	24	3379	0.9006	
9	1	2961	0.8905	
9	2	2506	0.8862	
9	3	2738	0.874	
9	4	2266	0.8268	
9	5	2012	0.8382	
9	6	2296	0.8662	
9	7	2487	0.8984	
9	8	2424	0.8466	
9	9	2618	0.8833	
9	10	2069	0.698	
9	11	2482	0.9046	
9	12	2477	0.8948	
9	13	2168	0.8461	
9	14	2586	0.9202	
9	15	2806	0.9195	
9	16	2509	0.8741	
9	17	3287	0.8594	
9	18	2875	0.9146	
9	19	3189	0.8842	
9	20	2536	0.8432	
9	21	3282	0.8635	
9	22	2581	0.856	
9	23	3247	0.9094	
9	24	2724	0.7984	
10	1	3532	0.835	
10	2	2200	0.6543	
10	3	2876	0.8163	
10	4	2289	0.8396	
10	5	2630	0.905	
10	6	2314	0.873	
10	7	2805	0.8388	
10	8	2431	0.85	
10	9	2544	0.8863	
10	10	2601	0.8951	
10	11	2740	0.882	
10	12	2548	0.88	
10	13	2556	0.8698	
10	14	2560	0.8554	
10	15	2644	0.8729	
10	16	2522	0.9111	
10	17	2879	0.9039	
10	18	2437	0.8972	
10	19	2552	0.8476	
10	20	2542	0.8779	
10	21	2687	0.9033	
10	22	2654	0.9087	
10	23	2722	0.8784	
10	24	3279	0.9133	
11	1	3045	0.8509	
11	2	2748	0.8527	
11	3	2477	0.8598	
11	4	2363	0.8699	
11	5	2632	0.8668	
11	6	2160	0.8963	
11	7	2078	0.8599	
11	8	2273	0.8466	
