# gitter v1.1.1 data file generated on Wed May 29 03:24:19 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	565	0.7054	
1	2	0	NA	
1	3	0	NA	
1	4	0	NA	
1	5	0	NA	
1	6	0	NA	
1	7	0	NA	
1	8	0	NA	
1	9	596	0.8568	
1	10	0	NA	
1	11	821	0.8325	
1	12	0	NA	
1	13	0	NA	
1	14	0	NA	
1	15	1089	0.8622	
1	16	0	NA	
1	17	788	0.8799	
1	18	560	0.7366	
1	19	0	NA	
1	20	0	NA	
1	21	0	NA	
1	22	0	NA	
1	23	779	0.8242	
1	24	246	0.1831	C
2	1	602	0.7759	
2	2	557	0.9071	
2	3	526	0.804	
2	4	906	0.9175	
2	5	0	NA	
2	6	930	0.8776	
2	7	0	NA	
2	8	0	NA	
2	9	0	NA	
2	10	0	NA	
2	11	0	NA	
2	12	995	0.911	
2	13	739	0.867	
2	14	0	NA	
2	15	0	NA	
2	16	1231	0.863	
2	17	443	0.8733	
2	18	0	NA	
2	19	0	NA	
2	20	1104	0.8181	
2	21	0	NA	
2	22	1136	0.9114	
2	23	0	NA	
2	24	1038	0.8683	
3	1	0	NA	
3	2	0	NA	
3	3	353	0.8857	
3	4	648	0.7521	
3	5	0	NA	
3	6	0	NA	
3	7	569	0.7978	
3	8	0	NA	
3	9	0	NA	
3	10	0	NA	
3	11	644	0.8556	
3	12	722	0.7781	
3	13	0	NA	
3	14	0	NA	
3	15	0	NA	
3	16	0	NA	
3	17	0	NA	
3	18	0	NA	
3	19	0	NA	
3	20	0	NA	
3	21	0	NA	
3	22	0	NA	
3	23	0	NA	
3	24	0	NA	
4	1	708	0.7606	
4	2	0	NA	
4	3	0	NA	
4	4	590	0.6968	
4	5	0	NA	
4	6	0	NA	
4	7	0	NA	
4	8	564	0.788	
4	9	394	0.8997	
4	10	998	0.8677	
4	11	0	NA	
4	12	916	0.8644	
4	13	396	0.9102	
4	14	680	0.8882	
4	15	0	NA	
4	16	1057	0.8772	
4	17	0	NA	
4	18	0	NA	
4	19	576	0.9086	
4	20	1024	0.8532	
4	21	789	0.8967	
4	22	1302	0.8938	
4	23	0	NA	
4	24	0	NA	
5	1	828	0.7814	
5	2	0	NA	
5	3	0	NA	
5	4	0	NA	
5	5	545	0.8362	
5	6	0	NA	
5	7	528	0.8071	
5	8	0	NA	
5	9	0	NA	
5	10	0	NA	
5	11	615	0.8999	
5	12	0	NA	
5	13	185	0.9284	
5	14	0	NA	
5	15	710	0.862	
5	16	0	NA	
5	17	663	0.8853	
5	18	0	NA	
5	19	862	0.8548	
5	20	1008	0.8973	
5	21	0	NA	
5	22	868	0.7705	
5	23	913	0.8961	
5	24	0	NA	
6	1	507	0.7998	
6	2	0	NA	
6	3	462	0.8033	
6	4	778	0.7878	
6	5	204	0.9171	
6	6	734	0.807	
6	7	462	0.903	
6	8	710	0.8424	
6	9	534	0.9107	
6	10	549	0.9184	
6	11	347	0.8853	
6	12	808	0.8653	
6	13	0	NA	
6	14	1018	0.8959	
6	15	4	1.4797	
6	16	802	0.9409	
6	17	0	NA	
6	18	974	0.8586	
6	19	0	NA	
6	20	0	NA	
6	21	0	NA	
6	22	978	0.8706	
6	23	606	0.8868	
6	24	783	0.8569	
7	1	653	0.8358	
7	2	0	NA	
7	3	570	0.8164	
7	4	338	0.823	
7	5	388	0.8642	
7	6	114	0.7884	
7	7	563	0.8282	
7	8	0	NA	
7	9	445	0.9488	
7	10	633	0.7811	
7	11	660	0.9587	
7	12	646	0.801	
7	13	459	0.9159	
7	14	638	0.8252	
7	15	577	0.8488	
7	16	0	NA	
7	17	633	0.8268	
7	18	0	NA	
7	19	805	0.8907	
7	20	0	NA	
7	21	646	0.8038	
7	22	0	NA	
7	23	836	0.7777	
7	24	0	NA	
8	1	690	0.8095	
8	2	498	0.7223	
8	3	423	0.8148	
8	4	349	0.8514	
8	5	477	0.7641	
8	6	436	0.8398	
8	7	462	0.8846	
8	8	424	0.8287	
8	9	506	0.7653	
8	10	782	0.9071	
8	11	491	0.8607	
8	12	487	0.9061	
8	13	548	0.7878	
8	14	558	0.8511	
8	15	583	0.8468	
8	16	755	0.8392	
8	17	0	NA	
8	18	1007	0.8265	
8	19	0	NA	
8	20	85	0.7815	
8	21	0	NA	
8	22	877	0.9054	
8	23	774	0.9227	
8	24	1188	0.877	
9	1	468	0.8886	
9	2	542	0.8393	
9	3	355	0.9274	
9	4	498	0.8541	
9	5	217	0.8143	
9	6	638	0.8264	
9	7	545	0.9169	
9	8	575	0.8612	
9	9	401	0.9427	
9	10	498	0.861	
9	11	621	0.8601	
9	12	717	0.9101	
9	13	529	0.784	
9	14	600	0.8167	
9	15	535	0.8598	
9	16	879	0.8808	
9	17	558	0.8988	
9	18	874	0.8796	
9	19	584	0.9334	
9	20	935	0.9451	
9	21	727	0.8133	
9	22	952	0.7701	
9	23	673	0.8443	
9	24	42	0.924	
10	1	638	0.7745	
10	2	560	0.8134	
10	3	418	0.8778	
10	4	552	0.8393	
10	5	502	0.8445	
10	6	551	0.8315	
10	7	489	0.8917	
10	8	530	0.8916	
10	9	491	0.826	
10	10	527	0.8099	
10	11	612	0.9355	
10	12	794	0.9065	
10	13	493	0.9496	
10	14	802	0.9014	
10	15	607	0.9279	
10	16	770	0.8694	
10	17	635	0.86	
10	18	896	0.9349	
10	19	626	0.8177	
10	20	633	0.8091	
10	21	689	0.8807	
10	22	649	0.8834	
10	23	741	0.8792	
10	24	1182	0.8421	
11	1	610	0.888	
11	2	612	0.8373	
11	3	325	0.8848	
11	4	616	0.8593	
11	5	398	0.8617	
11	6	545	0.9046	
11	7	445	0.8788	
11	8	582	0.9531	
11	9	475	0.7634	
11	10	697	0.8326	
11	11	440	0.8476	
11	12	790	0.8781	
11	13	514	0.8815	
11	14	754	0.9198	
11	15	835	0.8659	
11	16	844	0.9321	
11	17	636	0.7633	
11	18	887	0.8492	
11	19	534	0.8582	
11	20	884	0.7837	
11	21	880	0.8818	
11	22	951	0.7642	
11	23	654	0.8732	
11	24	750	0.9044	
12	1	728	0.786	
12	2	567	0.8341	
12	3	498	0.7753	
12	4	349	0.8097	
12	5	505	0.8781	
12	6	382	0.7922	
12	7	569	0.8222	
12	8	648	0.8364	
12	9	558	0.9313	
12	10	617	0.8297	
12	11	643	0.9195	
12	12	698	0.7933	
12	13	850	0.9005	
12	14	625	0.8507	
12	15	716	0.8734	
12	16	471	0.9342	
12	17	729	0.8691	
12	18	803	0.8545	
12	19	743	0.8635	
12	20	560	0.9	
12	21	763	0.8119	
12	22	630	0.6447	
12	23	736	0.7599	
12	24	875	0.8352	
13	1	487	0.8586	
13	2	698	0.8555	
13	3	322	0.7436	
13	4	734	0.8611	
13	5	626	0.8777	
13	6	855	0.822	
13	7	207	0.8092	
13	8	923	0.8966	
13	9	435	0.8379	
13	10	1041	0.8319	
13	11	735	0.8651	
13	12	971	0.898	
13	13	352	0.9821	
13	14	1140	0.8827	
13	15	794	0.8311	
13	16	1024	0.8556	
13	17	896	0.8578	
13	18	904	0.8872	
13	19	769	0.8723	
13	20	1012	0.7735	
13	21	770	0.8598	
13	22	1046	0.8599	
13	23	966	0.8515	
13	24	1003	0.82	
14	1	736	0.8181	
14	2	538	0.8831	
14	3	579	0.7314	
14	4	555	0.8484	
14	5	637	0.8463	
14	6	549	0.8613	
14	7	740	0.907	
14	8	732	0.8227	
14	9	953	0.8205	
14	10	623	0.9002	
14	11	803	0.9358	
14	12	951	0.9238	
14	13	850	0.9062	
14	14	592	0.8492	
14	15	858	0.8858	
14	16	815	0.8203	
14	17	897	0.8536	
14	18	944	0.8908	
14	19	895	0.862	
14	20	564	0.8253	
14	21	826	0.8806	
14	22	730	0.8242	
14	23	841	0.891	
14	24	944	0.7941	
15	1	749	0.8326	
15	2	1167	0.8131	
15	3	0	NA	
15	4	1067	0.8925	
15	5	776	0.7942	
15	6	1187	0.8909	
15	7	524	0.8649	
15	8	1295	0.8458	
15	9	779	0.8526	
15	10	1344	0.8225	
15	11	750	0.8741	
15	12	1400	0.9176	
15	13	984	0.8883	
15	14	1292	0.887	
15	15	799	0.8801	
15	16	1402	0.8692	
15	17	1027	0.8176	
15	18	1451	0.8953	
15	19	345	0.9488	
15	20	1348	0.891	
15	21	563	0.9397	
15	22	1223	0.853	
15	23	722	0.8567	
15	24	1205	0.8817	
16	1	1019	0.8344	
16	2	508	0.8615	
16	3	908	0.8412	
16	4	879	0.778	
16	5	891	0.8782	
16	6	1052	0.7908	
16	7	1094	0.7834	
16	8	1162	0.8076	
16	9	1508	0.8609	
16	10	1190	0.8832	
16	11	1450	0.8701	
16	12	1328	0.8601	
16	13	1144	0.9107	
16	14	1265	0.8653	
16	15	1430	0.8751	
16	16	993	0.7875	
16	17	1380	0.8556	
16	18	1412	0.8405	
16	19	1243	0.8245	
16	20	1317	0.8559	
16	21	1338	0.8161	
16	22	898	0.8776	
16	23	1110	0.797	
16	24	1365	0.8286	
