# gitter v1.1.1 data file generated on Wed May 29 03:25:15 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	2080	0.1915	C
1	2	0	NA	
1	3	986	0.8384	
1	4	0	NA	
1	5	1131	0.7405	
1	6	1	Inf	
1	7	1288	0.866	
1	8	8	0.7398	
1	9	1550	0.7519	
1	10	20	0.8384	
1	11	1138	0.9059	
1	12	28	1.0982	
1	13	1862	0.8447	
1	14	38	0.9957	
1	15	36	0.7546	
1	16	40	1.1065	
1	17	44	0.6511	
1	18	89	0.7591	
1	19	1567	0.815	
1	20	1245	0.7568	
1	21	1373	0.8472	
1	22	9	0.4716	C
1	23	6	0.5549	C
1	24	855	0.1647	S,C
2	1	1132	0.8698	
2	2	808	0.9225	
2	3	30	1.0106	
2	4	998	0.7769	
2	5	1413	0.8924	
2	6	899	0.798	
2	7	1347	0.8449	
2	8	0	NA	
2	9	0	NA	
2	10	1281	0.8583	
2	11	1475	0.83	
2	12	7	0.9433	
2	13	6	0.4707	C
2	14	1094	0.8825	
2	15	3	3.2341	
2	16	1720	0.8404	
2	17	99	0.5086	C
2	18	39	0.2885	C
2	19	13	0.6462	
2	20	879	0.8901	
2	21	1053	0.8608	
2	22	87	0.8853	
2	23	6	0.5549	C
2	24	0	NA	
3	1	1192	0.8133	
3	2	0	NA	
3	3	0	NA	
3	4	32	0.8385	
3	5	1373	0.7606	
3	6	63	0.8575	
3	7	813	0.8483	
3	8	0	NA	
3	9	0	NA	
3	10	0	NA	
3	11	1212	0.8497	
3	12	18	0.8323	
3	13	1346	0.9005	
3	14	88	0.7411	
3	15	894	0.7959	
3	16	54	0.4337	C
3	17	579	0.7601	
3	18	89	0.4293	C
3	19	1407	0.8328	
3	20	14	0.7177	
3	21	12	0.5549	C
3	22	117	0.8415	
3	23	1683	0.8875	
3	24	14	0.452	C
4	1	1328	0.7095	
4	2	0	NA	
4	3	0	NA	
4	4	0	NA	
4	5	0	NA	
4	6	70	0.9316	
4	7	0	NA	
4	8	972	0.8402	
4	9	1425	0.7982	
4	10	123	0.7184	
4	11	17	1.0181	
4	12	20	0.8624	
4	13	1472	0.922	
4	14	933	0.8986	
4	15	1	Inf	
4	16	1332	0.873	
4	17	22	1.0173	
4	18	986	0.885	
4	19	19	1.0512	
4	20	1176	0.8102	
4	21	18	0.8323	
4	22	12	0.5839	C
4	23	8	0.3288	C
4	24	91	0.551	C
5	1	1416	0.7104	
5	2	0	NA	
5	3	1229	0.8424	
5	4	48	0.8826	
5	5	1183	0.7699	
5	6	89	0.9145	
5	7	984	0.7855	
5	8	79	0.8945	
5	9	20	1.3475	
5	10	100	0.8909	
5	11	1240	0.7357	
5	12	21	1.0439	
5	13	1289	0.849	
5	14	28	0.8734	
5	15	22	0.7601	
5	16	1	Inf	
5	17	1118	0.7742	
5	18	28	0.7746	
5	19	1338	0.7893	
5	20	13	0.8759	
5	21	882	0.8239	
5	22	10	0.9248	
5	23	1197	0.7725	
5	24	6	0.7187	
6	1	0	NA	
6	2	826	0.8999	
6	3	1441	0.786	
6	4	60	0.9136	
6	5	0	NA	
6	6	1601	0.9273	
6	7	0	NA	
6	8	1145	0.8996	
6	9	176	0.784	
6	10	1169	0.8662	
6	11	0	NA	
6	12	115	0.9124	
6	13	87	0.7652	
6	14	68	0.8148	
6	15	20	0.9942	
6	16	165	0.6992	
6	17	0	NA	
6	18	1144	0.8906	
6	19	102	0.8092	
6	20	955	0.9143	
6	21	26	0.8983	
6	22	915	0.9074	
6	23	11	0.5194	C
6	24	27	0.2207	C
7	1	0	NA	
7	2	0	NA	
7	3	618	0.8211	
7	4	0	NA	
7	5	977	0.7536	
7	6	3	3.2341	
7	7	1420	0.7337	
7	8	177	0.848	
7	9	1198	0.8153	
7	10	59	0.8984	
7	11	848	0.881	
7	12	128	0.5629	C
7	13	846	0.8883	
7	14	114	0.8199	
7	15	1083	0.8322	
7	16	142	0.6676	
7	17	133	0.6949	
7	18	139	0.7314	
7	19	1004	0.8099	
7	20	27	0.735	
7	21	1141	0.8379	
7	22	12	0.4222	C
7	23	1375	0.813	
7	24	37	0.7865	
8	1	137	0.8121	
8	2	1418	0.782	
8	3	1	Inf	
8	4	1205	0.8849	
8	5	12	0.8826	
8	6	0	NA	
8	7	9	0.6064	
8	8	12	0.6152	
8	9	18	0.9227	
8	10	866	0.9521	
8	11	87	0.5593	C
8	12	116	0.7806	
8	13	2169	0.8748	
8	14	1123	0.8776	
8	15	27	0.9929	
8	16	1277	0.8253	
8	17	157	0.5568	C
8	18	1166	0.8864	
8	19	111	0.7271	
8	20	1083	0.8785	
8	21	91	0.7664	
8	22	70	0.5721	C
8	23	136	0.7156	
8	24	1414	0.8417	
9	1	0	NA	
9	2	0	NA	
9	3	1082	0.7566	
9	4	6	0.5549	C
9	5	826	0.7684	
9	6	39	1.0788	
9	7	1710	0.822	
9	8	34	0.8271	
9	9	1493	0.8787	
9	10	52	1.0005	
9	11	1539	0.833	
9	12	121	0.8952	
9	13	1272	0.8719	
9	14	129	0.845	
9	15	914	0.8251	
9	16	140	0.9682	
9	17	1386	0.8223	
9	18	128	0.7216	
9	19	1327	0.9143	
9	20	81	0.7942	
9	21	1387	0.846	
9	22	83	0.8822	
9	23	1292	0.854	
9	24	30	0.6794	
10	1	0	NA	
10	2	1381	0.8101	
10	3	1666	0.8499	
10	4	55	0.8476	
10	5	54	0.8568	
10	6	0	NA	
10	7	0	NA	
10	8	120	0.8561	
10	9	1817	0.8487	
10	10	36	0.6834	
10	11	18	1.3239	
10	12	1289	0.8348	
10	13	1544	0.8717	
10	14	63	0.9063	
10	15	2123	0.8563	
10	16	149	0.84	
10	17	29	1.1374	
10	18	122	0.8534	
10	19	25	0.9805	
10	20	1186	0.8788	
10	21	22	1.1278	
10	22	13	1.2022	
10	23	1491	0.8222	
10	24	1254	0.8823	
11	1	2174	0.896	
11	2	0	NA	
11	3	1491	0.7845	
11	4	0	NA	
11	5	1205	0.8585	
11	6	29	0.5263	C
11	7	45	0.758	
11	8	0	NA	
11	9	1215	0.8733	
11	10	54	0.7268	
11	11	1656	0.8575	
11	12	127	0.9396	
11	13	1508	0.8637	
11	14	75	0.837	
11	15	1501	0.8977	
11	16	132	0.8883	
11	17	1518	0.8558	
11	18	31	0.8575	
11	19	1462	0.8803	
11	20	77	0.686	
11	21	1559	0.8512	
11	22	1	Inf	
11	23	1492	0.8662	
11	24	17	1.0181	
12	1	0	NA	
12	2	1475	0.8681	
12	3	1718	0.8672	
12	4	1573	0.834	
12	5	69	1.0506	
12	6	61	0.8437	
12	7	1976	0.8614	
12	8	1525	0.841	
12	9	4	1.4797	
12	10	1368	0.8816	
12	11	0	NA	
12	12	1634	0.8805	
12	13	99	0.772	
12	14	89	0.9594	
12	15	159	0.9526	
12	16	9	1.2128	
12	17	1860	0.848	
12	18	136	0.7861	
12	19	77	0.8301	
12	20	1167	0.9326	
12	21	1087	0.7784	
12	22	0	NA	
12	23	0	NA	
12	24	1629	0.8886	
13	1	2043	0.847	
13	2	0	NA	
13	3	1501	0.824	
13	4	31	0.8123	
13	5	0	NA	
13	6	56	1.0775	
13	7	1812	0.8808	
13	8	0	NA	
13	9	1496	0.8072	
13	10	0	NA	
13	11	1506	0.7798	
13	12	87	0.894	
13	13	1651	0.8334	
13	14	103	0.9347	
13	15	1780	0.9024	
13	16	127	0.7807	
13	17	1907	0.8548	
13	18	4	1.078	
13	19	1584	0.8832	
13	20	112	0.6812	
13	21	1534	0.862	
13	22	2	25.1327	
13	23	1556	0.8321	
13	24	37	0.62	
14	1	88	1.0173	
14	2	0	NA	
14	3	13	0.8759	
14	4	32	0.4603	C
14	5	1828	0.8564	
14	6	26	0.8983	
14	7	78	0.9996	
14	8	1908	0.8786	
14	9	1755	0.8601	
14	10	1778	0.8909	
14	11	1668	0.8757	
14	12	97	1.0825	
14	13	2440	0.8737	
14	14	82	0.7539	
14	15	0	NA	
14	16	0	NA	
14	17	71	0.9556	
14	18	1735	0.9052	
14	19	50	0.8072	
14	20	45	0.8274	
14	21	0	NA	
14	22	2094	0.7942	
14	23	1263	0.8998	
14	24	0	NA	
15	1	2217	0.8141	
15	2	18	0.9227	
15	3	884	0.8952	
15	4	0	NA	
15	5	1742	0.853	
15	6	38	1.0512	
15	7	1449	0.8625	
15	8	0	NA	
15	9	1497	0.8166	
15	10	71	1.0631	
15	11	1723	0.858	
15	12	81	0.8609	
15	13	1791	0.8599	
15	14	73	0.9716	
15	15	1706	0.8768	
15	16	53	0.9745	
15	17	1823	0.8081	
15	18	84	0.9374	
15	19	1643	0.873	
15	20	1691	0.889	
15	21	1694	0.8838	
15	22	0	NA	
15	23	1644	0.8577	
15	24	48	0.7309	
16	1	0	NA	
16	2	0	NA	
16	3	1	Inf	
16	4	2523	0.866	
16	5	17	1.0181	
16	6	2623	0.8796	
16	7	2906	0.823	
16	8	1804	0.8573	
16	9	148	0.8839	
16	10	70	0.8514	
16	11	179	0.9288	
16	12	113	0.6436	
16	13	2730	0.8571	
16	14	227	0.5618	C
16	15	2974	0.8329	
16	16	2761	0.842	
16	17	2105	0.8914	
16	18	2483	0.879	
16	19	75	0.8986	
