# gitter v1.1.1 data file generated on Wed May 29 03:25:07 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
12	16	106	1.0062	
12	17	1761	0.8404	
12	18	78	0.858	
12	19	7	0.3873	C
12	20	1069	0.8431	
12	21	1056	0.8329	
12	22	1049	0.8351	
12	23	0	NA	
12	24	1307	0.8255	
13	1	2505	0.8189	
13	2	7772	0.8144	
13	3	1989	0.8562	
13	4	43	0.6363	
13	5	39	0.7648	
13	6	46	0.7389	
13	7	1586	0.8428	
13	8	0	NA	
13	9	1638	0.86	
13	10	93	1.0026	
13	11	1603	0.88	
13	12	88	0.8353	
13	13	1630	0.8661	
13	14	0	NA	
13	15	1491	0.9307	
13	16	62	1.026	
13	17	1530	0.8476	
13	18	86	0.8163	
13	19	1458	0.9364	
13	20	43	0.9738	
13	21	1368	0.7773	
13	22	43	0.8837	
13	23	1445	0.8203	
13	24	35	0.6046	
14	1	98	0.8358	
14	2	7	0.6474	
14	3	2764	0.826	
14	4	43	0.946	
14	5	1853	0.8388	
14	6	15	0.7689	
14	7	60	0.7114	
14	8	1592	0.8459	
14	9	1962	0.923	
14	10	1409	0.9202	
14	11	69	0.9544	
14	12	80	0.822	
14	13	2326	0.8381	
14	14	87	0.7999	
14	15	2016	0.7898	
14	16	1385	0.9123	
14	17	67	0.737	
14	18	1512	0.8469	
14	19	53	0.841	
14	20	41	1.0191	
14	21	1553	0.8995	
14	22	1084	0.8503	
14	23	696	0.9047	
14	24	1215	0.8593	
15	1	2621	0.7955	
15	2	21	0.7256	
15	3	1381	0.9051	
15	4	0	NA	
15	5	1816	0.863	
15	6	46	0.9145	
15	7	1761	0.8387	
15	8	64	1.078	
15	9	1713	0.837	
15	10	63	0.8254	
15	11	1895	0.8788	
15	12	105	0.6932	
15	13	1791	0.8415	
15	14	97	0.8531	
15	15	1557	0.8917	
15	16	82	0.8426	
15	17	1673	0.8217	
15	18	79	0.7038	
15	19	1671	0.9115	
15	20	1501	0.8854	
15	21	1584	0.8353	
15	22	0	NA	
15	23	1551	0.8785	
15	24	32	0.704	
16	1	72	0.7653	
16	2	6	0.5549	C
16	3	2597	0.8165	
16	4	1816	0.8457	
16	5	2432	0.8609	
16	6	1862	0.7735	
16	7	2661	0.796	
16	8	1921	0.8293	
16	9	93	0.6329	
16	10	16	0.5166	C
16	11	0	NA	
16	12	23	0.3309	C
16	13	2207	0.859	
16	14	21	0.4855	C
16	15	2747	0.8616	
16	16	2301	0.8334	
16	17	2138	0.851	
16	18	2087	0.8778	
16	19	77	0.4565	C
16	20	1947	0.7543	
16	21	47	0.549	C
16	22	1779	0.8063	
16	23	1354	0.7234	
16	24	1980	0.8558	
