# gitter v1.1.1 data file generated on Wed May 29 03:25:07 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	2109	0.1666	C
1	2	0	NA	
1	3	957	0.7548	
1	4	0	NA	
1	5	927	0.7457	
1	6	0	NA	
1	7	1184	0.8773	
1	8	0	NA	
1	9	1282	0.8097	
1	10	0	NA	
1	11	1037	0.7181	
1	12	0	NA	
1	13	1110	0.8049	
1	14	0	NA	
1	15	1261	0.8265	
1	16	0	NA	
1	17	1098	0.8823	
1	18	0	NA	
1	19	1087	0.8573	
1	20	0	NA	
1	21	998	0.91	
1	22	0	NA	
1	23	0	NA	
1	24	148	0.0937	C
2	1	1236	0.8101	
2	2	810	0.8274	
2	3	56	0.8527	
2	4	948	0.8558	
2	5	1140	0.8569	
2	6	905	0.7165	
2	7	1105	0.8998	
2	8	58	0.977	
2	9	1144	0.7882	
2	10	954	0.8112	
2	11	791	0.8525	
2	12	0	NA	
2	13	1134	0.8511	
2	14	819	0.9308	
2	15	0	NA	
2	16	0	NA	
2	17	87	0.9247	
2	18	50	0.9194	
2	19	0	NA	
2	20	912	0.8875	
2	21	656	0.8929	
2	22	54	0.9329	
2	23	1112	0.8852	
2	24	1126	0.8742	
3	1	911	0.819	
3	2	0	NA	
3	3	0	NA	
3	4	0	NA	
3	5	1039	0.8239	
3	6	0	NA	
3	7	617	0.7992	
3	8	0	NA	
3	9	637	0.8523	
3	10	0	NA	
3	11	1100	0.7656	
3	12	7	0.3873	C
3	13	1043	0.8574	
3	14	1	Inf	
3	15	722	0.8297	
3	16	0	NA	
3	17	976	0.9026	
3	18	0	NA	
3	19	1057	0.8655	
3	20	0	NA	
3	21	896	0.9391	
3	22	0	NA	
3	23	891	0.8967	
3	24	0	NA	
4	1	1273	0.7947	
4	2	736	0.8692	
4	3	0	NA	
4	4	919	0.7739	
4	5	789	0.8674	
4	6	0	NA	
4	7	61	0.7992	
4	8	880	0.7138	
4	9	1176	0.8793	
4	10	81	0.8732	
4	11	871	0.8171	
4	12	620	0.787	
4	13	925	0.8336	
4	14	646	0.8065	
4	15	0	NA	
4	16	868	0.8556	
4	17	113	0.7629	
4	18	665	0.8542	
4	19	1007	0.8123	
4	20	934	0.8867	
4	21	0	NA	
4	22	872	0.8685	
4	23	0	NA	
4	24	1247	0.8666	
5	1	1298	0.7632	
5	2	0	NA	
5	3	1212	0.7944	
5	4	49	0.8619	
5	5	1133	0.8042	
5	6	0	NA	
5	7	818	0.8284	
5	8	6	0.5549	C
5	9	0	NA	
5	10	0	NA	
5	11	1117	0.846	
5	12	0	NA	
5	13	1410	0.9055	
5	14	0	NA	
5	15	1060	0.8176	
5	16	0	NA	
5	17	873	0.8408	
5	18	0	NA	
5	19	750	0.8659	
5	20	0	NA	
5	21	913	0.797	
5	22	0	NA	
5	23	1173	0.84	
5	24	0	NA	
6	1	116	0.9316	
6	2	619	0.7739	
6	3	0	NA	
6	4	46	0.9453	
6	5	0	NA	
6	6	1334	0.7952	
6	7	0	NA	
6	8	710	0.8464	
6	9	109	0.9296	
6	10	711	0.8436	
6	11	41	0.7212	
6	12	62	0.8715	
6	13	62	0.8123	
6	14	0	NA	
6	15	988	0.8278	
6	16	73	0.8439	
6	17	48	0.6533	
6	18	944	0.8321	
6	19	38	0.7452	
6	20	778	0.8648	
6	21	0	NA	
6	22	827	0.8953	
6	23	0	NA	
6	24	0	NA	
7	1	1472	0.7407	
7	2	37	1.0235	
7	3	1076	0.8344	
7	4	52	0.8251	
7	5	882	0.8893	
7	6	0	NA	
7	7	1124	0.7958	
7	8	133	0.8484	
7	9	1239	0.8463	
7	10	0	NA	
7	11	891	0.8707	
7	12	0	NA	
7	13	1148	0.921	
7	14	0	NA	
7	15	1053	0.8656	
7	16	4	1.4797	
7	17	76	0.8569	
7	18	0	NA	
7	19	1218	0.857	
7	20	0	NA	
7	21	1305	0.8991	
7	22	0	NA	
7	23	1386	0.8511	
7	24	0	NA	
8	1	17	0.6987	
8	2	1123	0.7698	
8	3	0	NA	
8	4	1055	0.8385	
8	5	0	NA	
8	6	52	0.6921	
8	7	970	0.8467	
8	8	643	0.83	
8	9	1000	0.9248	
8	10	826	0.8942	
8	11	34	0.6455	
8	12	0	NA	
8	13	1064	0.8664	
8	14	999	0.8567	
8	15	0	NA	
8	16	1060	0.9382	
8	17	120	0.7572	
8	18	773	0.8826	
8	19	0	NA	
8	20	798	0.8264	
8	21	0	NA	
8	22	0	NA	
8	23	0	NA	
8	24	1194	0.8768	
9	1	1393	0.7853	
9	2	36	0.8323	
9	3	1038	0.8373	
9	4	40	0.7952	
9	5	560	0.8195	
9	6	54	0.8085	
9	7	1250	0.7841	
9	8	94	0.9659	
9	9	1097	0.854	
9	10	103	0.8675	
9	11	1394	0.8309	
9	12	106	0.9745	
9	13	1247	0.8666	
9	14	74	0.4354	C
9	15	1253	0.8927	
9	16	116	0.7958	
9	17	1257	0.8555	
9	18	0	NA	
9	19	1165	0.7861	
9	20	0	NA	
9	21	1189	0.7738	
9	22	0	NA	
9	23	1317	0.8154	
9	24	0	NA	
10	1	1434	0.824	
10	2	933	0.7598	
10	3	1370	0.7326	
10	4	42	0.971	
10	5	0	NA	
10	6	54	0.9499	
10	7	1337	0.8869	
10	8	37	1.0235	
10	9	1126	0.9119	
10	10	86	0.9013	
10	11	0	NA	
10	12	1071	0.8606	
10	13	1398	0.9353	
10	14	87	0.9247	
10	15	1245	0.9309	
10	16	0	NA	
10	17	0	NA	
10	18	0	NA	
10	19	1044	0.9203	
10	20	913	0.8529	
10	21	960	0.9006	
10	22	0	NA	
10	23	1061	0.8875	
10	24	893	0.8142	
11	1	2022	0.7531	
11	2	48	0.9865	
11	3	1376	0.8691	
11	4	26	1.0198	
11	5	1264	0.8284	
11	6	72	0.8447	
11	7	79	1.0514	
11	8	0	NA	
11	9	1279	0.8812	
11	10	104	0.6866	
11	11	1518	0.7826	
11	12	124	0.944	
11	13	1368	0.8598	
11	14	1	Inf	
11	15	1319	0.8351	
11	16	131	0.7848	
11	17	1317	0.878	
11	18	0	NA	
11	19	1280	0.8461	
11	20	0	NA	
11	21	1120	0.8451	
11	22	17	0.2145	C
11	23	1399	0.8674	
11	24	15	0.6936	
12	1	0	NA	
12	2	1306	0.8676	
12	3	1557	0.8123	
12	4	1060	0.8952	
12	5	77	1.065	
12	6	45	0.7916	
12	7	1641	0.8608	
12	8	1150	0.8163	
12	9	1024	0.8614	
12	10	1213	0.9104	
12	11	0	NA	
12	12	995	0.9072	
12	13	118	0.8487	
12	14	1323	0.8467	
12	15	135	0.8611	
